City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
260,Touros,BR,2020-04-16 07:07:29,-5.2,-35.46,75.2,100,75,3.36
261,North Platte,US,2020-04-16 07:07:29,41.12,-100.77,37.4,74,90,12.75
262,Carutapera,BR,2020-04-16 07:06:10,-1.2,-46.02,76.77,88,100,5.86
263,Olafsvik,IS,2020-04-16 07:07:30,64.89,-23.71,38.97,83,89,12.37
264,Lorengau,PG,2020-04-16 07:07:30,-2.02,147.27,84.52,67,85,3.2
265,Mandera,KE,2020-04-16 07:07:30,3.94,41.87,84.99,9,95,1.99
266,Kilindoni,TZ,2020-04-16 07:07:30,-7.91,39.67,81.57,82,90,16.49
267,Floro,NO,2020-04-16 07:07:31,61.6,5.03,41.0,75,40,20.8
268,San Cristobal,VE,2020-04-16 07:07:31,7.77,-72.22,66.43,55,30,1.07
269,Mount Juliet,US,2020-04-16 07:07:06,36.2,-86.52,45.0,60,1,6.93
270,Srednekolymsk,RU,2020-04-16 07:07:31,67.45,153.68,9.79,94,93,13.02
271,Zaoyang,CN,2020-04-16 07:05:43,32.13,112.75,80.8,38,57,13.76
272,Alexandria,EG,2020-04-16 07:03:35,31.22,29.96,66.2,72,40,16.11
273,Kaeo,NZ,2020-04-16 07:07:32,-35.1,173.78,59.0,89,58,5.01
274,Victoria,HK,2020-04-16 07:07:32,22.29,114.16,80.6,54,20,11.41
275,Manoel Urbano,BR,2020-04-16 07:07:33,-8.84,-69.26,69.12,92,100,3.33
276,Bonavista,CA,2020-04-16 07:07:33,48.65,-53.11,32.0,84,100,10.0
277,Tabou,CI,2020-04-16 07:07:33,4.42,-7.35,78.28,88,67,4.45
278,Ewo,CG,2020-04-16 07:07:33,-0.87,14.82,77.81,76,35,3.47
279,Mikuni,JP,2020-04-16 07:07:34,36.22,136.15,59.0,51,20,18.34
280,Santa Helena De Goias,BR,2020-04-16 07:07:34,-17.81,-50.6,65.34,75,100,4.23
281,Mormugao,IN,2020-04-16 07:07:34,15.4,73.8,91.2,51,69,7.05
282,Mahuva,IN,2020-04-16 07:07:34,21.09,71.76,92.79,34,0,3.22
283,Yuanping,CN,2020-04-16 07:07:35,38.72,112.76,60.4,21,0,26.46
284,Sao Joao Da Barra,BR,2020-04-16 07:07:35,-21.64,-41.05,73.99,90,100,8.99
285,Mago,RU,2020-04-16 07:07:35,53.25,140.18,47.88,52,0,7.34
286,Orikhiv,UA,2020-04-16 07:07:36,47.57,35.79,46.99,65,32,11.18
287,Waingapu,ID,2020-04-16 07:07:36,-9.66,120.26,84.88,73,88,7.2
288,Raudeberg,NO,2020-04-16 07:07:36,61.99,5.14,41.0,75,40,20.8
289,Isiro,CD,2020-04-16 07:07:36,2.77,27.62,78.01,52,45,2.51
290,Ossora,RU,2020-04-16 07:07:37,59.24,163.07,28.99,97,74,4.41
291,Codrington,AU,2020-04-16 07:07:39,-38.27,141.97,58.75,58,69,17.05
292,Terrace Bay,CA,2020-04-16 07:07:39,48.78,-87.1,22.78,91,52,11.99
293,Ancud,CL,2020-04-16 07:07:39,-41.87,-73.82,53.6,100,90,14.99
294,Tutoia,BR,2020-04-16 07:07:40,-2.76,-42.27,77.29,87,99,7.05
295,Cabo San Lucas,MX,2020-04-16 07:02:53,22.89,-109.91,66.99,58,89,6.82
296,Charters Towers,AU,2020-04-16 07:07:40,-20.1,146.27,84.81,44,15,10.16
297,Nago,JP,2020-04-16 07:07:41,26.59,127.98,73.4,43,1,11.41
298,San Carlos De Bariloche,AR,2020-04-16 07:07:41,-41.15,-71.31,51.8,93,90,1.12
299,Phan Thiet,VN,2020-04-16 07:07:41,10.93,108.1,89.19,54,93,15.14
300,Bandarbeyla,SO,2020-04-16 07:07:42,9.49,50.81,84.15,65,27,6.91
301,Komsomolskiy,UZ,2020-04-16 07:07:42,40.43,71.72,60.8,50,17,4.7
302,Scarborough,GB,2020-04-16 07:07:42,54.28,-0.4,50.0,81,87,3.96
303,Sochi,RU,2020-04-16 07:03:51,43.6,39.73,48.2,81,90,6.71
304,Rantoul,US,2020-04-16 07:07:42,40.31,-88.16,30.99,68,1,4.5
